Version,Date_of_report,Date_of_statistics,Perc_covid_symptoms,MA_perc_covid_symptoms
1,2022-04-26 10:00:00,2021-11-25,3.64188163884674,3.601
1,2022-04-26 10:00:00,2021-11-26,2.92307692307692,3.555
1,2022-04-26 10:00:00,2021-11-27,3.65659777424483,3.336
1,2022-04-26 10:00:00,2021-11-28,3.6255767963085,3.356
1,2022-04-26 10:00:00,2021-11-29,3.0209617755857,3.349
1,2022-04-26 10:00:00,2021-11-30,2.61299435028249,3.287
1,2022-04-26 10:00:00,2021-12-01,4.01125967628431,3.326
1,2022-04-26 10:00:00,2021-12-02,3.59012715033657,3.34
1,2022-04-26 10:00:00,2021-12-03,2.49056603773585,3.262
1,2022-04-26 10:00:00,2021-12-04,3.92772977219167,3.248
1,2022-04-26 10:00:00,2021-12-05,3.72670807453416,3.049
1,2022-04-26 10:00:00,2021-12-06,2.47495580436064,2.98
1,2022-04-26 10:00:00,2021-12-07,2.51188051595384,3.103
1,2022-04-26 10:00:00,2021-12-08,2.62096774193548,2.905
1,2022-04-26 10:00:00,2021-12-09,3.10693641618497,2.813
1,2022-04-26 10:00:00,2021-12-10,3.35070737155622,2.888
1,2022-04-26 10:00:00,2021-12-11,2.54169976171565,2.901
1,2022-04-26 10:00:00,2021-12-12,3.08176100628931,2.765
1,2022-04-26 10:00:00,2021-12-13,3.00120048019208,2.638
